,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
481,Male,18.0,1.74,64.0,yes,yes,3.0,4.0,Sometimes,no,1.0,yes,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight
482,Female,20.0,1.58,53.5,yes,yes,2.0,1.0,Frequently,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
483,Female,18.0,1.5,58.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I
487,Male,20.0,1.84,104.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,3.0,0.0,no,Motorbike,Obesity_Type_I
489,Female,19.0,1.56,50.0,no,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,2.0,no,Public_Transportation,Normal_Weight
493,Male,20.0,1.8,65.0,no,yes,2.0,3.0,Frequently,no,1.0,no,2.0,0.0,Sometimes,Motorbike,Normal_Weight
494,Female,18.0,1.67,66.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
495,Male,19.0,1.8,60.0,yes,yes,3.0,1.0,Always,no,1.0,yes,0.0,0.0,no,Motorbike,Normal_Weight
496,Male,18.0,1.72,53.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Insufficient_Weight
497,Male,20.0,1.56,45.0,no,no,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
499,Female,18.503343,1.683124,126.67378,yes,yes,3.0,3.0,Sometimes,no,1.115967,no,1.541072,1.0,Sometimes,Public_Transportation,Obesity_Type_III
503,Female,18.306615,1.7456,133.03441,yes,yes,3.0,3.0,Sometimes,no,2.984323,no,1.586525,0.62535,Sometimes,Public_Transportation,Obesity_Type_III
507,Male,19.799054,1.743702,54.927529,yes,yes,2.0,3.28926,Sometimes,no,2.847264,no,1.680844,2.0,Sometimes,Public_Transportation,Insufficient_Weight
508,Male,17.188754,1.771915,55.695036,yes,yes,2.0,4.0,Sometimes,no,2.884033,no,2.0,1.340107,Sometimes,Public_Transportation,Insufficient_Weight
519,Female,18.535075,1.688025,45.0,no,yes,3.0,3.0,Sometimes,no,3.0,yes,2.539762,1.283673,no,Public_Transportation,Insufficient_Weight
520,Female,19.0,1.556211,42.339767,no,yes,3.0,2.0846,Sometimes,no,2.13755,yes,0.196152,0.062488,no,Public_Transportation,Insufficient_Weight
521,Female,19.0,1.564199,42.096062,no,yes,3.0,1.894384,Sometimes,no,2.456581,yes,1.596576,0.9974,no,Public_Transportation,Insufficient_Weight
525,Female,19.86997,1.520997,42.0,no,yes,3.0,1.0,Frequently,no,1.527036,no,0.0,0.860497,Sometimes,Public_Transportation,Insufficient_Weight
530,Female,19.724106,1.734832,50.0,no,no,1.123939,4.0,Frequently,no,1.0,no,1.303976,0.371941,Sometimes,Public_Transportation,Insufficient_Weight
534,Male,18.216032,1.755507,52.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.658894,1.0,no,Public_Transportation,Insufficient_Weight
536,Male,18.164768,1.694265,52.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.819682,1.0,no,Public_Transportation,Insufficient_Weight
537,Female,18.871794,1.586895,41.452385,no,yes,2.0,1.07976,Sometimes,no,1.0,no,0.194745,1.547086,Sometimes,Public_Transportation,Insufficient_Weight
538,Female,18.766033,1.579561,41.890204,no,yes,2.027574,1.0,Sometimes,no,1.636326,no,0.0,1.906141,Sometimes,Public_Transportation,Insufficient_Weight
539,Female,18.540535,1.564568,41.397378,no,yes,2.658112,1.0,Sometimes,no,1.298165,no,0.0,1.639326,Sometimes,Public_Transportation,Insufficient_Weight
540,Female,19.88036,1.670635,49.742931,no,no,2.88626,3.559841,Frequently,no,1.632004,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
541,Female,19.717249,1.688426,49.660995,no,no,2.714447,3.0,Frequently,no,2.0,no,1.903182,1.0,Sometimes,Public_Transportation,Insufficient_Weight
542,Female,19.633898,1.66084,49.039794,no,no,2.750715,3.0,Frequently,no,2.0,no,1.067817,1.0,Sometimes,Public_Transportation,Insufficient_Weight
546,Female,19.058511,1.662017,49.838965,no,yes,1.4925,3.0,Sometimes,no,1.049134,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
547,Female,18.827008,1.7,50.0,no,yes,1.0,3.240578,Sometimes,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
548,Female,19.314964,1.661403,49.932199,no,yes,2.205439,3.0,Sometimes,no,1.530531,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
552,Male,17.038222,1.710564,51.588874,no,yes,2.0,2.057935,Sometimes,no,2.371015,no,0.288032,0.714627,Sometimes,Public_Transportation,Insufficient_Weight
553,Male,16.30687,1.752755,50.0,no,yes,2.310423,3.558637,Sometimes,no,1.787843,no,1.926592,0.828549,Sometimes,Public_Transportation,Insufficient_Weight
554,Male,16.198153,1.691007,52.629374,no,yes,2.0,2.000986,Sometimes,no,2.673835,no,0.99295,0.474836,Sometimes,Public_Transportation,Insufficient_Weight
555,Male,18.0,1.753349,51.457226,no,yes,2.823179,3.0,Sometimes,no,1.773236,no,1.252472,1.0,Sometimes,Public_Transportation,Insufficient_Weight
556,Male,18.0,1.781543,50.869704,no,yes,2.052932,3.0,Sometimes,no,2.0,no,0.520408,1.0,Sometimes,Public_Transportation,Insufficient_Weight
557,Male,18.0,1.755823,52.331172,no,yes,2.596364,3.0,Sometimes,no,2.0,no,0.281734,1.488372,Sometimes,Public_Transportation,Insufficient_Weight
558,Male,17.486869,1.836669,58.943347,yes,yes,2.767731,3.821168,Sometimes,no,2.0,no,2.0,0.556245,no,Automobile,Insufficient_Weight
559,Male,19.920629,1.768493,57.790381,yes,yes,2.0,3.897078,Sometimes,no,2.622638,no,2.0,1.894105,no,Automobile,Insufficient_Weight
560,Male,18.426619,1.777108,57.145917,yes,yes,2.0,3.092116,Sometimes,no,2.426465,no,2.0,1.839862,no,Automobile,Insufficient_Weight
561,Female,17.082867,1.640824,43.365005,no,yes,2.815157,3.0,Sometimes,no,2.911187,no,2.595128,1.380204,Sometimes,Public_Transportation,Insufficient_Weight
562,Female,17.000433,1.584951,44.411801,no,yes,2.737762,3.0,Sometimes,no,2.310921,no,2.240714,1.59257,Sometimes,Public_Transportation,Insufficient_Weight
563,Female,16.270434,1.818268,47.124717,no,yes,3.0,3.286431,Sometimes,no,2.148146,no,2.458237,1.273333,Sometimes,Public_Transportation,Insufficient_Weight
564,Male,17.908114,1.793926,59.682591,yes,yes,2.568063,4.0,Sometimes,no,2.0,no,2.0,0.220029,no,Automobile,Insufficient_Weight
565,Male,17.120699,1.809251,58.968994,yes,yes,2.524428,4.0,Sometimes,no,2.0,no,2.0,0.03838,no,Automobile,Insufficient_Weight
566,Male,19.329542,1.767335,55.700497,yes,yes,2.0,4.0,Sometimes,no,2.157395,no,2.0,1.679149,no,Automobile,Insufficient_Weight
570,Female,19.300435,1.739354,49.649613,no,yes,3.0,3.754599,Sometimes,no,1.692112,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
571,Female,17.065445,1.647811,49.603807,no,yes,3.0,3.566082,Sometimes,no,1.438398,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
572,Female,19.084967,1.768435,49.597765,no,yes,3.0,3.725797,Sometimes,no,1.191401,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
573,Female,18.024853,1.7,50.0,no,yes,1.0816,3.520555,Frequently,no,1.016968,no,0.651412,1.0,Sometimes,Public_Transportation,Insufficient_Weight
574,Female,19.833682,1.699464,49.676046,no,yes,1.270448,3.731212,Frequently,no,1.876915,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
575,Female,17.767432,1.74379,50.0,no,yes,1.344854,4.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
576,Female,19.504696,1.590317,42.367615,no,no,2.959658,3.0,Frequently,no,1.0,no,1.522399,0.0,Sometimes,Public_Transportation,Insufficient_Weight
577,Female,19.950605,1.527133,42.0,no,no,2.725282,1.259803,Frequently,no,1.0,no,1.37467,0.0,Sometimes,Public_Transportation,Insufficient_Weight
578,Female,19.0,1.530875,42.0,no,no,2.844607,1.273128,Frequently,no,1.69551,no,0.260079,0.635867,Sometimes,Public_Transportation,Insufficient_Weight
579,Male,17.0,1.848294,59.409018,yes,yes,2.44004,3.0,Sometimes,no,2.0,no,2.784471,1.0,no,Automobile,Insufficient_Weight
580,Male,17.0,1.824414,59.295172,yes,yes,2.432302,3.0,Sometimes,no,2.0,no,2.349495,1.0,no,Automobile,Insufficient_Weight
581,Male,18.525525,1.856633,59.258372,yes,yes,2.592247,3.304123,Sometimes,no,2.036764,no,2.038653,1.119877,no,Automobile,Insufficient_Weight
585,Female,17.402028,1.710756,50.0,no,yes,2.015258,3.300666,Sometimes,no,1.315608,no,0.069802,1.0,Sometimes,Public_Transportation,Insufficient_Weight
586,Female,18.0,1.7,50.0,no,yes,1.031149,3.0,Sometimes,no,1.963628,no,0.028202,1.0,Sometimes,Public_Transportation,Insufficient_Weight
587,Female,18.48207,1.7,50.0,no,yes,1.592183,3.535016,Sometimes,no,1.086391,no,0.618913,1.0,Sometimes,Public_Transportation,Insufficient_Weight
588,Female,18.53084,1.573816,39.850137,no,yes,1.21498,1.717608,Sometimes,no,1.179942,no,0.684739,2.0,Sometimes,Public_Transportation,Insufficient_Weight
589,Female,19.94814,1.530884,39.371523,no,yes,1.522001,3.0,Sometimes,no,1.98126,no,2.306844,0.720454,Sometimes,Public_Transportation,Insufficient_Weight
591,Male,19.556729,1.767563,56.307019,yes,yes,2.362918,4.0,Sometimes,no,2.358172,no,2.0,0.939819,no,Automobile,Insufficient_Weight
592,Male,17.70368,1.883364,60.0,yes,yes,3.0,3.626815,Sometimes,no,2.0,no,2.011519,0.456462,no,Automobile,Insufficient_Weight
593,Male,18.274358,1.824655,58.621349,yes,yes,2.14084,4.0,Sometimes,no,2.931438,no,2.0,1.164457,no,Automobile,Insufficient_Weight
594,Male,18.0,1.840138,60.0,yes,yes,3.0,4.0,Sometimes,no,2.0,no,2.0,0.0,no,Automobile,Insufficient_Weight
595,Male,17.210933,1.819557,58.325122,yes,yes,2.5596,4.0,Sometimes,no,2.0,no,2.0,0.331483,no,Automobile,Insufficient_Weight
596,Male,17.469417,1.798645,59.612717,yes,yes,2.336044,4.0,Sometimes,no,2.0,no,2.0,0.133005,no,Automobile,Insufficient_Weight
597,Male,18.0,1.7108,50.92538,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.593704,Sometimes,Public_Transportation,Insufficient_Weight
598,Male,18.0,1.70653,51.121749,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.329237,Sometimes,Public_Transportation,Insufficient_Weight
599,Male,18.0,1.716691,51.149283,yes,yes,1.813234,3.0,Sometimes,no,1.274815,no,0.520407,1.673584,Sometimes,Public_Transportation,Insufficient_Weight
600,Female,19.010211,1.555431,44.188767,no,no,2.724285,3.0,Frequently,no,1.0,yes,1.070331,0.0,Sometimes,Public_Transportation,Insufficient_Weight
601,Female,19.091346,1.603923,45.0,no,no,3.0,3.0,Frequently,no,1.28246,yes,1.60195,0.0,Sometimes,Public_Transportation,Insufficient_Weight
602,Female,19.773303,1.602082,45.0,no,no,3.0,3.0,Frequently,no,2.875583,yes,1.258504,0.0,Sometimes,Public_Transportation,Insufficient_Weight
603,Female,19.483036,1.53777,42.0,no,yes,3.0,1.0,Frequently,no,1.387531,no,0.0,0.466169,Sometimes,Public_Transportation,Insufficient_Weight
604,Female,19.0,1.538398,42.0,no,yes,2.71897,1.473088,Frequently,no,1.164644,no,1.235675,0.930926,Sometimes,Public_Transportation,Insufficient_Weight
605,Female,19.407204,1.520862,42.0,no,yes,3.0,1.0,Frequently,no,1.848703,no,0.0,0.744555,Sometimes,Public_Transportation,Insufficient_Weight
606,Male,18.0,1.717826,51.7325,yes,yes,1.133844,3.0,Sometimes,no,1.325326,no,0.227985,1.708309,Sometimes,Public_Transportation,Insufficient_Weight
607,Male,18.424941,1.753389,54.121925,yes,yes,2.0,3.16645,Sometimes,no,2.278578,no,1.838881,2.0,Sometimes,Public_Transportation,Insufficient_Weight
608,Male,18.0,1.70165,50.157707,yes,yes,1.757466,3.0,Sometimes,no,1.153559,no,0.833976,1.616045,Sometimes,Public_Transportation,Insufficient_Weight
609,Male,19.97981,1.75336,54.997374,yes,yes,2.0,3.494849,Sometimes,no,2.976672,no,1.94907,2.0,no,Public_Transportation,Insufficient_Weight
613,Female,19.376997,1.600264,45.0,no,no,3.0,3.0,Frequently,no,2.949419,yes,1.295697,0.0,Sometimes,Public_Transportation,Insufficient_Weight
619,Female,18.372563,1.589829,40.202773,no,yes,2.0,1.075553,Sometimes,no,1.0,no,0.127425,1.679442,Sometimes,Public_Transportation,Insufficient_Weight
620,Female,19.931667,1.653209,49.026214,no,no,2.530066,3.0,Sometimes,no,1.965237,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
622,Female,18.006742,1.7,50.0,no,yes,1.003566,3.238258,Frequently,no,1.014634,no,0.783676,1.0,Sometimes,Public_Transportation,Insufficient_Weight
624,Male,16.496978,1.691206,50.0,no,yes,2.0,1.630846,Sometimes,no,2.975528,no,0.548991,0.369134,Sometimes,Public_Transportation,Insufficient_Weight
625,Male,18.0,1.788459,51.552595,no,yes,2.897899,3.0,Sometimes,no,1.835545,no,1.162519,1.0,Sometimes,Public_Transportation,Insufficient_Weight
626,Male,17.377131,1.811238,58.83071,yes,yes,2.483979,3.762778,Sometimes,no,2.0,no,2.0,0.930051,no,Automobile,Insufficient_Weight
627,Female,16.611837,1.830068,43.534531,no,yes,2.945967,3.0,Sometimes,no,2.953192,no,2.830911,1.466667,Sometimes,Public_Transportation,Insufficient_Weight
628,Male,17.080493,1.782756,56.029418,yes,yes,2.0,4.0,Sometimes,no,2.28525,no,2.0,1.162801,no,Automobile,Insufficient_Weight
630,Female,17.764764,1.78656,50.0,no,yes,2.784464,4.0,Sometimes,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
631,Female,19.272573,1.71367,50.0,no,yes,1.005578,4.0,Frequently,no,1.0,no,1.683957,0.704978,Sometimes,Public_Transportation,Insufficient_Weight
632,Female,19.0,1.540375,42.006282,no,no,2.938031,2.705445,Frequently,no,1.333807,yes,1.877369,0.370973,Sometimes,Public_Transportation,Insufficient_Weight
633,Male,17.06713,1.896734,59.895052,yes,yes,2.842102,3.34175,Sometimes,no,2.0,no,2.511157,0.560351,no,Automobile,Insufficient_Weight
635,Female,18.0,1.704193,50.631889,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.525597,Sometimes,Public_Transportation,Insufficient_Weight
636,Female,19.054008,1.556611,39.695295,no,yes,1.889199,2.217651,Sometimes,no,2.013605,no,2.075293,1.683261,Sometimes,Public_Transportation,Insufficient_Weight
637,Male,18.0,1.845399,60.0,yes,yes,3.0,4.0,Sometimes,no,2.0,no,2.0,0.0,no,Automobile,Insufficient_Weight
638,Male,17.491272,1.834637,59.990861,yes,yes,2.943749,4.0,Sometimes,no,2.0,no,2.0,0.128895,no,Automobile,Insufficient_Weight
639,Male,18.0,1.721854,52.514302,yes,yes,2.33998,3.0,Sometimes,no,2.0,no,0.027433,1.884138,Sometimes,Public_Transportation,Insufficient_Weight
641,Female,19.220108,1.530266,42.0,no,yes,3.0,1.0,Frequently,no,1.954889,no,0.0,0.907868,Sometimes,Public_Transportation,Insufficient_Weight
642,Male,18.0,1.71889,52.058335,yes,yes,1.950742,3.0,Sometimes,no,1.751723,no,0.201136,1.743319,Sometimes,Public_Transportation,Insufficient_Weight
643,Male,19.96247,1.756338,54.98234,yes,yes,2.277436,3.502604,Sometimes,no,2.891713,no,1.696294,1.894902,no,Public_Transportation,Insufficient_Weight
644,Male,17.580627,1.770324,55.695253,yes,yes,2.0,4.0,Sometimes,no,2.369627,no,2.0,1.612466,no,Automobile,Insufficient_Weight
655,Female,18.91505,1.633316,45.0,no,yes,3.0,3.0,Sometimes,no,2.924594,yes,1.352558,0.220087,Sometimes,Public_Transportation,Insufficient_Weight
656,Female,19.0,1.559567,42.12617,no,yes,3.0,1.989398,Sometimes,no,2.241607,no,0.206025,0.284453,no,Public_Transportation,Insufficient_Weight
657,Female,19.052833,1.546551,42.069992,no,yes,3.0,1.735493,Sometimes,no,2.318736,no,1.193486,0.74568,no,Public_Transportation,Insufficient_Weight
658,Female,19.59904,1.566501,41.706283,no,yes,2.967853,1.0,Frequently,no,1.131185,no,0.0,0.504176,Sometimes,Public_Transportation,Insufficient_Weight
660,Female,19.673262,1.599486,44.810751,no,no,3.0,2.974568,Frequently,no,1.145761,yes,0.87967,0.0,Sometimes,Public_Transportation,Insufficient_Weight
666,Female,18.909439,1.732096,50.0,no,yes,1.053534,3.378859,Sometimes,no,1.0,no,1.853425,0.861809,Sometimes,Public_Transportation,Insufficient_Weight
668,Male,19.084317,1.851123,61.264785,yes,yes,3.0,3.994588,Sometimes,no,2.548527,no,1.285976,0.267076,Sometimes,Automobile,Insufficient_Weight
670,Male,18.068767,1.787787,52.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.854337,1.0,Sometimes,Public_Transportation,Insufficient_Weight
672,Male,18.038422,1.698914,51.692272,yes,yes,2.824559,3.0,Sometimes,no,2.0,no,0.533309,1.099764,Sometimes,Public_Transportation,Insufficient_Weight
673,Female,18.874591,1.533609,41.669346,no,yes,2.762325,1.163666,Sometimes,no,1.30491,no,0.25289,1.001405,Sometimes,Public_Transportation,Insufficient_Weight
674,Female,19.21164,1.567981,41.934368,no,yes,2.070964,1.0,Sometimes,no,1.676975,no,0.0,1.718513,Sometimes,Public_Transportation,Insufficient_Weight
675,Female,18.988581,1.544263,41.535047,no,yes,2.68601,1.0,Sometimes,no,1.310074,no,0.0,1.0647,Sometimes,Public_Transportation,Insufficient_Weight
676,Female,19.408999,1.670552,49.804245,no,yes,2.794197,3.409363,Sometimes,no,1.543021,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
677,Female,19.665881,1.676346,49.105025,no,no,2.720701,3.0,Sometimes,no,2.0,no,1.862235,1.0,Sometimes,Public_Transportation,Insufficient_Weight
678,Female,19.758286,1.667404,49.125955,no,no,2.880792,3.281391,Sometimes,no,1.960131,no,1.513029,1.0,Sometimes,Public_Transportation,Insufficient_Weight
682,Female,19.007177,1.690727,49.895716,no,yes,1.212908,3.207071,Sometimes,no,1.029703,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
683,Female,18.288205,1.713564,50.0,no,yes,1.140615,3.471536,Sometimes,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
684,Female,19.314429,1.67231,49.713944,no,yes,2.562409,3.488342,Sometimes,no,1.67062,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
688,Male,17.729923,1.732862,51.216463,no,yes,2.051283,2.645858,Sometimes,no,2.35752,no,0.291309,0.897942,Sometimes,Public_Transportation,Insufficient_Weight
689,Female,16.834813,1.74402,50.0,no,yes,2.19005,3.420618,Sometimes,no,1.356405,no,1.351996,0.98468,Sometimes,Public_Transportation,Insufficient_Weight
690,Male,17.521754,1.757958,52.09432,no,yes,2.21498,2.64155,Sometimes,no,2.121251,no,0.998391,0.85882,Sometimes,Public_Transportation,Insufficient_Weight
691,Male,18.0,1.786758,51.524444,no,yes,2.91548,3.0,Sometimes,no,1.777486,no,1.077469,1.0,Sometimes,Public_Transportation,Insufficient_Weight
692,Male,18.0,1.767058,51.132809,yes,yes,2.708965,3.0,Sometimes,no,1.873004,no,1.21718,1.0,Sometimes,Public_Transportation,Insufficient_Weight
693,Male,18.128249,1.699437,52.08657,yes,yes,2.853513,3.0,Sometimes,no,2.0,no,0.680464,1.258881,Sometimes,Public_Transportation,Insufficient_Weight
694,Male,17.405104,1.82525,58.913579,yes,yes,2.580872,3.887906,Sometimes,no,2.0,no,2.0,0.453649,no,Automobile,Insufficient_Weight
695,Male,19.72925,1.793315,58.19515,yes,yes,2.508835,3.435905,Sometimes,no,2.076933,no,2.026668,1.443328,no,Automobile,Insufficient_Weight
696,Male,18.525834,1.776989,57.275946,yes,yes,2.0,3.747163,Sometimes,no,2.575535,no,2.0,1.84383,no,Automobile,Insufficient_Weight
697,Female,18.595614,1.609495,42.656563,no,yes,2.896562,2.625475,Sometimes,no,2.839558,yes,1.949667,1.253311,no,Public_Transportation,Insufficient_Weight
698,Female,16.613108,1.777929,44.762023,no,yes,2.911877,3.098399,Sometimes,no,2.196405,no,2.328147,1.55011,Sometimes,Public_Transportation,Insufficient_Weight
699,Female,16.928791,1.710948,45.248627,no,yes,2.910733,3.12544,Sometimes,no,2.204263,no,2.407906,1.403037,Sometimes,Public_Transportation,Insufficient_Weight
700,Male,17.758315,1.854162,59.881316,yes,yes,2.966126,3.96981,Sometimes,no,2.0,no,2.000088,0.378619,no,Automobile,Insufficient_Weight
701,Male,17.282945,1.821514,59.605028,yes,yes,2.613249,3.712183,Sometimes,no,2.0,no,2.002997,0.174848,no,Automobile,Insufficient_Weight
702,Male,19.993154,1.762073,55.511075,yes,yes,2.0,4.0,Sometimes,no,2.542415,no,2.0,1.807465,no,Automobile,Insufficient_Weight
706,Female,19.317148,1.731195,49.650897,no,yes,2.919751,3.576103,Sometimes,no,1.949308,no,1.940182,1.0,Sometimes,Public_Transportation,Insufficient_Weight
707,Female,16.910997,1.74823,49.928447,no,yes,2.494451,3.56544,Sometimes,no,1.491268,no,1.951027,0.956204,Sometimes,Public_Transportation,Insufficient_Weight
708,Female,19.071027,1.756865,49.699672,no,yes,1.69427,3.266644,Sometimes,no,1.095417,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
709,Female,18.019572,1.701378,50.088468,no,yes,1.601236,3.433908,Sometimes,no,1.055019,no,0.819269,1.030848,Sometimes,Public_Transportation,Insufficient_Weight
710,Female,19.735968,1.699956,49.98297,no,yes,1.204855,3.531038,Sometimes,no,1.134658,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
711,Female,18.094079,1.723328,50.0,no,yes,1.052699,3.998618,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
712,Female,19.054938,1.585886,42.541794,no,no,2.910345,3.0,Frequently,no,1.0,yes,1.461005,0.0,Sometimes,Public_Transportation,Insufficient_Weight
714,Female,19.349258,1.52337,42.0,no,yes,2.913486,1.060796,Frequently,no,1.596212,no,0.108948,0.773087,Sometimes,Public_Transportation,Insufficient_Weight
715,Male,17.0,1.844749,59.313525,yes,yes,2.432886,3.0,Sometimes,no,2.0,no,2.697949,1.0,no,Automobile,Insufficient_Weight
716,Male,17.203917,1.853325,59.619485,yes,yes,2.883745,3.595761,Sometimes,no,2.0,no,2.077653,0.714701,no,Automobile,Insufficient_Weight
717,Male,17.671064,1.854706,59.20945,yes,yes,2.707666,3.737914,Sometimes,no,2.026547,no,2.009397,0.613971,no,Automobile,Insufficient_Weight
721,Female,17.823438,1.708406,50.0,no,yes,1.642241,3.45259,Sometimes,no,1.099231,no,0.418875,1.0,Sometimes,Public_Transportation,Insufficient_Weight
722,Female,18.0,1.763465,50.279053,no,yes,1.567101,3.0,Sometimes,no,1.994139,no,0.107981,1.0,Sometimes,Public_Transportation,Insufficient_Weight
723,Female,18.281092,1.7,50.0,no,yes,1.036414,3.205587,Sometimes,no,1.745959,no,0.115974,1.0,Sometimes,Public_Transportation,Insufficient_Weight
724,Female,18.656912,1.574017,41.220175,no,yes,1.649974,1.513835,Sometimes,no,1.549974,no,0.227802,1.972926,Sometimes,Public_Transportation,Insufficient_Weight
725,Female,19.994543,1.537739,39.101805,no,yes,1.118436,3.0,Sometimes,no,1.997744,no,2.432443,1.626194,Sometimes,Public_Transportation,Insufficient_Weight
727,Male,19.865895,1.76033,55.3707,yes,yes,2.120185,4.0,Sometimes,no,2.582165,no,2.0,1.510609,no,Automobile,Insufficient_Weight
728,Male,17.888073,1.841879,60.0,yes,yes,3.0,3.732126,Sometimes,no,2.0,no,2.000934,0.384662,no,Automobile,Insufficient_Weight
729,Male,18.470562,1.856406,58.673963,yes,yes,2.34222,3.937099,Sometimes,no,2.311791,no,2.013377,1.128355,no,Automobile,Insufficient_Weight
730,Male,17.925497,1.829142,59.933015,yes,yes,2.86099,4.0,Sometimes,no,2.0,no,2.0,0.007872,no,Automobile,Insufficient_Weight
731,Male,17.000752,1.822084,58.443049,yes,yes,2.559571,3.047959,Sometimes,no,2.0,no,2.011646,0.588994,no,Automobile,Insufficient_Weight
732,Male,17.362129,1.80671,59.243506,yes,yes,2.424977,4.0,Sometimes,no,2.0,no,2.0,0.03921,no,Automobile,Insufficient_Weight
733,Male,18.0,1.707259,50.664459,yes,yes,1.786841,3.0,Sometimes,no,1.546856,no,0.512094,1.608265,Sometimes,Public_Transportation,Insufficient_Weight
734,Male,18.0,1.708107,51.314659,yes,yes,1.303878,3.0,Sometimes,no,1.755497,no,0.062932,1.672532,Sometimes,Public_Transportation,Insufficient_Weight
735,Male,18.0,1.739344,50.951444,yes,yes,1.889883,3.0,Sometimes,no,1.959531,no,0.520407,1.151166,Sometimes,Public_Transportation,Insufficient_Weight
736,Female,19.029494,1.573987,44.316254,no,no,2.984004,3.0,Frequently,no,1.015249,yes,1.327833,0.0,Sometimes,Public_Transportation,Insufficient_Weight
737,Female,19.269079,1.58092,44.753943,no,no,3.0,2.975362,Frequently,no,1.246822,yes,0.979701,0.0,Sometimes,Public_Transportation,Insufficient_Weight
738,Female,19.946244,1.603435,45.0,no,no,3.0,3.0,Frequently,no,2.487919,yes,1.230441,0.0,Sometimes,Public_Transportation,Insufficient_Weight
739,Female,19.639431,1.53535,42.0,no,yes,3.0,1.0,Frequently,no,1.49681,no,0.0,0.513427,Sometimes,Public_Transportation,Insufficient_Weight
740,Female,19.0,1.53161,42.0,no,yes,2.749268,1.394539,Frequently,no,1.322048,no,0.463949,0.800993,Sometimes,Public_Transportation,Insufficient_Weight
741,Female,19.434709,1.525691,42.0,no,yes,3.0,1.0,Frequently,no,1.764055,no,0.0,0.560887,Sometimes,Public_Transportation,Insufficient_Weight
742,Male,18.0,1.719827,52.289828,yes,yes,1.202075,3.0,Sometimes,no,1.927976,no,0.023574,1.747256,Sometimes,Public_Transportation,Insufficient_Weight
743,Male,18.381382,1.722547,53.783977,yes,yes,2.0,3.131032,Sometimes,no,2.072194,no,1.487987,2.0,Sometimes,Public_Transportation,Insufficient_Weight
744,Male,18.0,1.738702,50.248677,yes,yes,1.871213,3.0,Sometimes,no,1.283738,no,0.684879,1.487223,Sometimes,Public_Transportation,Insufficient_Weight
750,Male,19.114981,1.855543,88.965521,yes,yes,2.0,3.0,Sometimes,no,1.015677,no,0.0,0.37465,Sometimes,Public_Transportation,Overweight_Level_I
754,Female,18.836315,1.751631,80.0,yes,yes,2.0,1.73762,Sometimes,no,2.207978,no,2.641072,0.707044,Frequently,Public_Transportation,Overweight_Level_I
767,Male,19.623574,1.818226,85.833029,yes,yes,2.954996,3.714833,Sometimes,no,2.430918,no,2.545931,0.469735,Sometimes,Public_Transportation,Overweight_Level_I
768,Male,19.637947,1.809101,85.0,yes,yes,3.0,3.0,Sometimes,no,2.229171,no,1.607953,0.628059,Sometimes,Public_Transportation,Overweight_Level_I
